,10,11,12,13,14,15,16,17,20,21,22,23,24,25,26,27,30,31,32,33,34,35,36,37,40,41,42,43,44,45,46,47,50,51,52,53,54,55,56,57,60,61,62,63,64,65,66,67
30,,5,5,,5,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,19,19,19,
27,,5,5,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,20,20,
26,,5,5,4,4,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,20,20,20,,20,
25,,,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,20,20,,
24,,,4,,4,4,4,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,20,20,,20,20,,
23,,,,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,20,20,20,,,
22,,,,4,4,,4,3,3,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,21,21,,21,20,20,,,
21,,,,,4,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,21,21,21,21,,,,
20,,,,,,3,3,,3,3,3,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,22,21,,21,21,21,,,,,
17,,,,,,,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,22,21,21,21,21,,,,,,
16,,,,,,,,3,3,,3,2,2,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,22,22,22,,22,21,21,,,,,,,
15,,,,,,,,,3,3,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,22,22,22,22,22,22,22,,,,,,,,
14,,,,,,,,,,3,2,,2,2,2,,1,1,1,,0,0,0,,0,0,0,,0,23,23,,23,23,22,,22,22,22,,,,,,,,,
13,,,,,,,,,,,2,2,2,2,2,2,1,1,1,1,1,1,24,24,24,24,24,24,23,23,23,23,23,23,22,22,22,22,,,,,,,,,,
12,,,,,,,,,,,,,2,2,2,2,1,,1,1,1,,24,24,24,,24,24,23,,23,23,23,,23,22,,,,,,,,,,,,
11,,,,,,,,,,,,,,,2,1,1,1,1,1,1,1,24,24,24,24,24,24,24,23,23,23,23,23,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,1,1,1,1,1,24,24,24,24,24,24,24,23,23,,,,,,,,,,,,,,,,,
